Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included,Image
The Cannon,"34 McGarr Ct, Guelph",https://thecannon.ca/classified/housing/171240/,$1000/month,27/Aug/2026,"Hi! We are looking for a Fall Semester sublet (September – December). House is shared with three other respectful, clean, easy going guys. House comes with laundry machines, parking spot, basement, backyard. 10 minute walk from the bus stop, 10",N/A,N/A,False,
The Cannon,"302 College Ave W, Guelph",https://thecannon.ca/classified/housing/171226/,$850,27/Aug/2026,"Hello! 🙂 We are currently looking for 2 quiet, clean, and responsible female students to rent out the upstairs rooms of our home. Rooms come with a single bed with built-in drawers, a desk, and a desk chair. The bathroom upstairs will be shared",N/A,N/A,False,
The Cannon,"7 Floral Dr, Guelph",https://thecannon.ca/classified/housing/171219/,$2000,27/Aug/2026,"8 month lease available.  2 bedroom apartment conveniently located in the Old University Neighbourhood.  Within 15 minute walk to the University, Stone Road Mall and the Metro/Walmart plaza.  Private entrance, ensuite laundry facilities and a large",2,N/A,False,
The Cannon,"9 Laurelwood Ct, Guelph",https://thecannon.ca/classified/housing/171194/,$850.00/ inc,27/Aug/2026,"The Master bedroom is available from September 01. The house is in very good location, 10 minute walk to Stone Road mall & Metro, 20 minute walk to U of G.",N/A,N/A,False,
The Cannon,"456 College Ave W, Guelph",https://thecannon.ca/classified/housing/171183/,$900/incl.,27/Aug/2026,Room for rent for students on College Ave. West – Excellent Location **,N/A,N/A,False,
The Cannon,"920 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/171179/,$1000,27/Aug/2026,"A well-maintained townhome , located a 13 minute bus commute to the University of Guelph, within a student-friendly condominium complex.",N/A,N/A,False,
The Cannon,"815 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/171147/,$900,26/Aug/2026,"A furnished master bedroom is available for sublet this winter, with a flexible move-in date starting as early as December or January. The room is spacious and fully furnished, and the rest of the house is furnished as well, so it’s a great option",N/A,N/A,False,
The Cannon,"86 Yarmouth St, Guelph",https://thecannon.ca/classified/housing/171141/,$1600,26/Aug/2026,"Looking for a comfortable, pet-friendly place to call home? This 1-bedroom apartment will be available starting November 1, 2026.",N/A,N/A,False,
The Cannon,"34 Ridgeway Ave, Guelph",https://thecannon.ca/classified/housing/171123/,$899 +,26/Aug/2026,Stuck on the waitlist? We have a space for you!!,N/A,N/A,False,
The Cannon,"123 Elizabeth St, Guelph",https://thecannon.ca/classified/housing/171106/,$850,26/Aug/2026,Brand New Renovated Student Home 10 minute walk to Downtown Guelph,N/A,N/A,False,
The Cannon,"173 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/171092/,$875,25/Aug/2026,"Spacious, recently renovated, 4 large bedrooms available in an all female student home in a popular student complex for individuals or small groups.",N/A,N/A,False,
The Cannon,"64 Clough Crescent, Guelph",https://thecannon.ca/classified/housing/171077/,$2950,25/Aug/2026,PROPERTY FEATURES:,N/A,N/A,False,
The Cannon,"17 Emslie St, Guelph",https://thecannon.ca/classified/housing/171067/,$899 +,25/Aug/2026,Last unit available!,N/A,N/A,False,
The Cannon,"16 Sherwood Dr, Guelph",https://thecannon.ca/classified/housing/171061/,$750.00,25/Aug/2026,"Large bright bedroom, 4-8 minute walk to bus, within 15 minute walk to Freshco, Food Basics and Zehrs, shared bathroom with one female",N/A,N/A,False,
The Cannon,"1155 Gordon St, Guelph",https://thecannon.ca/classified/housing/171056/,$850 + utilities,25/Aug/2026,Available Aug 26th. 8 mth or 12 mth lease acceptable. 2 upstairs rooms $850 each + utilities. Master Bedroom $950 + utilities. Walkout basement $1100 + utilities.,N/A,N/A,False,
The Cannon,"57 Arlington Crescent, Guelph",https://thecannon.ca/classified/housing/170970/,$1300,25/Aug/2026,"Looking for 1 female roommate to share this beautifully maintained 3+1 bed, 3.5 bath condo town home ideally located in Guelph’s desirable South End. Looking to rent the basement in this home, it is laid out as a 4th bedroom with its own 3-piece",1,3.5,False,
The Cannon,"349 Gordon St, Guelph",https://thecannon.ca/classified/housing/170917/,$530,25/Aug/2026,"A professional veterinary fraternity house on Gordon street is looking for one responsible, University of Guelph student to live here. Just a 5 minute walk from campus, this house’s amenities are all included in the rent (wifi, utilities, cleaning",N/A,N/A,False,
The Cannon,"361 Arkell Rd, Guelph",https://thecannon.ca/classified/housing/170963/,$800,25/Aug/2026,"Looking for a convenient and comfortable place to live? The rooms are located at **28-361 Arkell Road**, in a great location for University of Guelph students.",N/A,N/A,False,
The Cannon,"423 Woolwich St, Guelph",https://thecannon.ca/classified/housing/171053/,$1895,25/Aug/2026,"STUDIO APARTMENT – Located in 10 unit, 3-storey professionally managed building. 15 minute walk to downtown and right on the bus route. Modern, open-concept, bright, with high ceilings. Units have individual temperature control and air conditioning.",N/A,N/A,False,
The Cannon,"4 Brazolot Dr, Guelph",https://thecannon.ca/classified/housing/170946/,$1380,25/Aug/2026,"Fresh 2 bedroom basement apartment for just $1380 Including utilities for the ENTIRE APARTMENT (two bedrooms). The apartment has a spacious living room, full kitchen, bathroom, two bedrooms, walking closet, laundry facility and its own separate",2,N/A,False,
The Cannon,"12 Whispering Ridge Dr, Guelph",https://thecannon.ca/classified/housing/170894/,$2700,25/Aug/2026,"4 bedroom home available, 5 minute walk to direct route to university and to the mall.",4,N/A,False,
The Cannon,"78 Western Ave, Guelph",https://thecannon.ca/classified/housing/170880/,$1850,25/Aug/2026,"Basement apartment with separate entrance and shared laundry. Term: 1 year. Utilities, storage, and single parking spot included. Please reach out to myself or our real estate agent if interested. $1850/month.",N/A,N/A,False,
The Cannon,"5 Huntington Pl, Guelph",https://thecannon.ca/classified/housing/170359/,$2000,25/Aug/2026,ALL INCLUSIVE and FULLY FURNISHED,N/A,N/A,False,
The Cannon,"10 Mason Ct, Guelph",https://thecannon.ca/classified/housing/171032/,$1125,25/Aug/2026,"Looking to sublet a fully furnished single room for the Winter 27 semester (January 1st, 2027- April 30th, 2027)!! Room with 3 other 3rd year female students form the university of guelph in this 4 bedroom, 2 and a half bath house.",4,N/A,False,
The Cannon,"159 Yorkshire St N, Guelph",https://thecannon.ca/classified/housing/171026/,$850,25/Aug/2026,🏡 3 Rooms Available in BRAND-NEW 4-Bedroom Apartment – Female Tenants 🏡,N/A,N/A,False,
The Cannon,"29 University Ave W, Guelph",https://thecannon.ca/classified/housing/171016/,$1000 incl.,25/Aug/2026,1 partially furnished room with a private bathroom available in a quiet neighbourhood just a 5 minute walk from the university. The house is female owner-occupied and shared with her partner (male working professional) and 3 female PhD,N/A,N/A,False,
The Cannon,"439 York Rd, Guelph",https://thecannon.ca/classified/housing/171010/,$850,25/Aug/2026,Furnished single bedroom on second floor .Within 7 minute walk to bus stop and ethnic store .,N/A,N/A,False,
The Cannon,"276 Carrington Dr, Guelph",https://thecannon.ca/classified/housing/171007/,$850.00 Per Month,25/Aug/2026,"1 Female student wanted, 4 already present in a well finished house with hardwood Living Room Floor, high ceilings. Maximum of 2 tenants to a Bathroom. The house which is in a very quiet neighbourhood, is a 2-8 minute walk to many bus routes, within",N/A,N/A,False,
The Cannon,"65 Periwinkle Way, Guelph",https://thecannon.ca/classified/housing/171000/,$1700,24/Aug/2026,Newly Finished 2 Bedroom 1 Bath Legal Basement apartment available for rent from now. 19 minute bus commute to Univ of Guelph. Separate Entrance and separate laundry. Parkings Available.,2,1,False,
The Cannon,"150 Cole Rd, Guelph",https://thecannon.ca/classified/housing/170841/,$1000,24/Aug/2026,"Great South Guelph location, perfect for University of Guelph students, looking for move in this September!",N/A,N/A,False,
The Cannon,"1284 Gordon St, Guelph",https://thecannon.ca/classified/housing/170825/,$1050,24/Aug/2026,"Room available in Liberty Square. Rent is $1,050 a month WITH utilities, excluding wifi which is paid separately. It’s a five-minute bus ride to the campus, private bathroom, in unit laundry, shared living room and kitchen! We are within a 35",N/A,N/A,False,
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/170650/,$Up to $1500,24/Aug/2026,"I’m a male second-year student looking for a place starting Sept. 1. Ideally, I’m looking for a nice, clean place close to campus and am open to a room in a shared apartment preferably.",N/A,N/A,False,
The Cannon,"36 Landsdown Dr, Guelph",https://thecannon.ca/classified/housing/170783/,$975,24/Aug/2026,"Looking for one roommate in a brand new, all-male, 3-bedroom house. Lease starts October 1st and runs 7 months until the end of April. The house is shared with 2 other university students going into first and second year. 5-minute drive to the",N/A,N/A,False,
The Cannon,"32 Dublin St S, Guelph",https://thecannon.ca/classified/housing/170771/,$1000,24/Aug/2026,Looking for a sublet for my room in house a 5 minute walk from downtown Guelph from September 2026 to April 2027. Price is $1000 a month + Utilities. A showing can be organized before the September start. The house is 4 other guys all going into,N/A,N/A,False,
The Cannon,"589 College Ave W, Guelph",https://thecannon.ca/classified/housing/171246/,$825,24/Aug/2026,"A spacious, fully furnished room is available starting September 1st in a very clean, quiet, and friendly all female home.",N/A,N/A,False,
The Cannon,"383 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/170953/,$2395 (or $798.33 each),24/Aug/2026,Beautifully Renovated Three Bedroom Townhouse for Three U of G Students and only a 20 minute walk to University of Guelph; 8 MONTH LEASE available; all 3 Bedrooms have large windows and closets with great views; hardwood floors throughout; new,3,N/A,False,
The Cannon,"53 Arthur St S, Guelph",https://thecannon.ca/classified/housing/170721/,$1400,24/Aug/2026,Property Overview:,N/A,N/A,False,
The Cannon,"91 Poppy Dr E, Guelph",https://thecannon.ca/classified/housing/170680/,$800,24/Aug/2026,"All-girls student house.Room available for $800. Utilities: $80/month .parking garage and visitor parking available. In-unit washer and dryer.within 10 minute walk to plazas (food basics, Zehrs, Longos) 20 minute to university by bus .kitten in",N/A,N/A,False,
The Cannon,"824 Woolwich St, Guelph",https://thecannon.ca/classified/housing/170669/,$1500,24/Aug/2026,170-824 Woolwich Street,N/A,N/A,False,
The Cannon,House in Guelph,https://thecannon.ca/classified/housing/170652/,$950,24/Aug/2026,"Im a male student going into my 3rd year at the university of guelph. I would like a September 2026 to April 2027 lease within a budget of $950 with a decently sized room. [Just for reference, I can only do September to April at a max of $950",N/A,N/A,False,
The Cannon,"43 Goodwin Dr, Guelph",https://thecannon.ca/classified/housing/170624/,$960,24/Aug/2026,"Still looking for a great place to live near the University of Guelph? Two private bedrooms are available immediately in a clean, spacious 3-bedroom, 2-bathroom condo shared with a female student.",N/A,N/A,False,
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/170354/,$Negotiable,24/Aug/2026,"One semester to go! 🎓 4th-year student looking for a place from September to December to finish my final semester. Clean, quiet, respectful, and responsible. Looking for a room or apartment, preferably furnished, in a convenient location. Please",N/A,N/A,False,
The Cannon,"220 Chancellors Way, Guelph",https://thecannon.ca/classified/housing/170364/,$1100,24/Aug/2026,"Room available to a male in a clean, spacious 4-bedroom, 2-bathroom apartment with 2nd-year male students, 15 minute walk from campus and backing onto Walmart/Stone Road Mall (5 minute walk).",N/A,N/A,False,
The Cannon,"118 Rodgers Rd, Guelph",https://thecannon.ca/classified/housing/170904/,$780,24/Aug/2026,"One bedroom available upstairs in a beautiful home, ideally suited for responsible University of Guelph students.",N/A,N/A,False,
The Cannon,"165 Lynnbrook Crescent, Waterloo",https://thecannon.ca/classified/housing/170900/,$850+,24/Aug/2026,"Newly renovated 5 bedroom house looking for 3 more male students to move in, house is fully furnished, brand new kitchen, 2 bathrooms, laundry and parking all waiting for you to enjoy in this students only house. 30 minute walking distance to",5,2,False,
The Cannon,"20 Wyndham St N, Guelph",https://thecannon.ca/classified/housing/170890/,$800,24/Aug/2026,🏡 3-BEDROOM APARTMENT AVAILABLE – DOWNTOWN GUELPH! 🏙️,N/A,N/A,False,
The Cannon,"181 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/170877/,$900,24/Aug/2026,✨3 rooms still available in a seven-bedroom house✨,N/A,N/A,False,
The Cannon,"15 Porter Dr, Guelph",https://thecannon.ca/classified/housing/170871/,$860,24/Aug/2026,"A bright, comfortable room is available for rent in a quiet neighbourhood in South Guelph, 15 minutes by bus to the University of Guelph. Conveniently located within a 6-minute walk to bus stops, a 10-minute walk to grocery stores, and other",N/A,N/A,False,
The Cannon,"29 Dudley Dr, Guelph",https://thecannon.ca/classified/housing/170834/,$850,23/Aug/2026,"Available Sept 1: Private rooms for rent in a beautiful 4-bedroom, 3-washroom detached home in Guelph’s Solterra neighborhood (McCalister & Victoria Rd).",N/A,N/A,False,
The Cannon,"133 Ironwood Rd, Guelph",https://thecannon.ca/classified/housing/170830/,$700+,23/Aug/2026,"One bedroom is available in a four bedroom house, shared with three other tenants.  The available room is upstairs on the second floor, looking out over the backyard.  The house is in a great location, and walking distance to Stone Road Mall,",N/A,N/A,False,
The Cannon,"21 Vipond St, Guelph",https://thecannon.ca/classified/housing/170818/,$1000,23/Aug/2026,"🏡 2 Private Bedrooms for Rent in a Basement Apartment – Grange Area, Guelph | Each Bedroom for 1 Person | Immediate Occupancy own space, no roommate",N/A,N/A,False,
The Cannon,"59 Woodside Rd, Guelph",https://thecannon.ca/classified/housing/170807/,$900/bedroom,23/Aug/2026,"One of three bedrooms available to rent, on the main floor of a bungalow, 20 minute walking distance to the university. Kitchen and bathroom are shared with 2 other university of Guelph students. Heat, hydro, water and internet included in monthly",N/A,N/A,False,
The Cannon,"178 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/170758/,$1000,23/Aug/2026,One private basement room has just opened up in an all-male student house!,N/A,N/A,False,
